,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Working capitcal Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
77,1,0.443523619,0.490242041,0.496439852,0.584160913,0.584326669,0.998533706,0.796773015,0.808765354,0.303357995,0.780975306,0.461629048,0.000620062,0.0,0.172221988,0.172221988,0.172221988,0.199489458,0.317712386,0.005686888,0.083869392,0.157490397,0.021712369,0.8478439,0.689234184,0.689234184,0.21756713,0.000416114,0.263722405,0.376494914,0.008994668,0.006947087,0.629847194,0.004993662,0.104423013,0.895576987,0.005326706,0.374033457,0.006529078,0.083874803,0.156504034,0.396951862,0.031484258,0.000302314,0.020953219,0.014032258,0.007855118,0.380758011,0.021786139,0.777873883,0.290988937,0.297303704,0.043225081,0.008566988,0.003665468,0.062235311,0.341057442,0.277067592,0.001460806,0.556188607,0.733663965,0.328720292,0.013714148,0.92173281,0.001972157,0.019072272,0.594003152,0.671419045,0.361876244,0.556188607,0.328720292,0.116947508,0.58363077,0.444973645,0.565953863,0.306008094,0.032373825,0,0.767152957,0.005748598,0.622144752,0.58415896,0.837975503,0.278400635,0.026602681,0.564064625,1,0.03625865
78,1,0.498903135,0.566670301,0.559987151,0.603150809,0.603150809,0.999019466,0.797447563,0.809387437,0.303520417,0.781624992,0.463444134,0.000647065,0.0,0.178837807,0.178837807,0.178837807,0.223787463,0.322522459,0.034529697,0.1047146,0.178202907,0.022116011,0.848022229,0.689535504,0.689535504,0.217594977,0.000472337,0.264252356,0.381207854,0.005275491,0.002788567,0.632244764,0.013788198,0.178250748,0.821749252,0.00501411,0.383332625,0.006070854,0.104540199,0.177249076,0.400755336,0.112443778,0.001034766,0.006111427,0.039354839,0.009652924,0.393828724,0.013643499,0.73992292,0.263208687,0.317587301,0.00436953,0.004289725,0.000208431,0.11100952,0.344333028,0.276122428,0.002901575,0.589994282,0.730822475,0.333517484,0.0232759,0.936187345,0.002354053,0.019443336,0.593904144,0.671572651,0.606898757,0.589994282,0.333517484,0.128541418,0.643379238,0.459339089,0.585736507,0.314671306,0.05415863,0,0.810075105,0.005414244,0.62291519,0.60314787,0.841678857,0.284778397,0.027549219,0.567263154,1,0.019818897
79,1,0.024277288,0.0,0.033513571,0.591324464,0.591324464,0.994014885,0.79150252,0.80377528,0.303602111,0.775601538,0.437970861,0.0,0.0,0.151152501,0.151152501,0.151152501,0.163656992,0.306111622,0.001905713,0.051135901,0.12141297,0.022091595,0.846272237,0.685112682,0.685112682,0.217100408,0.000735905,0.251619771,0.338819344,0.01519184,0.001816623,0.630612252,0.002849743,0.070139372,0.929860628,0.005345505,0.369637181,0.005365848,0.05115052,0.128466933,0.39416122,0.034482759,0.000781147,0.008102742,0.013387097,0.001010531,0.375251577,0.003709946,0.847540763,0.582870366,0.586408164,0.050357595,0.014597996,0.003649452,0.072904145,0.27300426,0.277014441,0.00188679,0.961737797,0.737183289,0.328704997,0.0,0.854834083,0.001951818,0.129817618,0.594351419,0.671519093,0.343711945,0.961737797,0.328704997,0.110933234,0.628137519,0.454066782,0.406032018,0.312752713,0.019305691,0,0.584583147,0.002302852,0.623817824,0.591322279,0.827164864,0.276845586,0.026791157,0.565158396,1,0.054958991
80,1,0.459220982,0.520660706,0.511108732,0.594394557,0.594394557,0.998852847,0.797259282,0.809192922,0.303539995,0.781450676,0.456492455,0.000753075,0.0,0.150604694,0.150604694,0.150604694,0.207714853,0.309719177,0.01324924,0.088510708,0.164193718,0.021964381,0.847860463,0.689640416,0.689605705,0.217618933,0.000416638,0.26456551,0.351924295,0.006445534,0.002155369,0.624254462,0.014172115,0.18021586,0.81978414,0.005464303,0.383869438,0.00603795,0.088532252,0.163177739,0.403556696,0.074962519,0.000746655,0.008463092,0.030967742,0.017023339,0.385823478,0.009346869,0.761535438,0.382824069,0.529053742,0.008004834,0.00454102,0.000279717,0.151711967,0.328812805,0.278984862,0.005272712,0.802587131,0.73307586,0.336370547,0.006070937,0.899659604,0.002145465,0.032133546,0.593928133,0.671558297,0.188166788,0.802587131,0.336370547,0.118644163,0.62870128,0.457252076,0.495881159,0.311189973,0.044716019,0,0.78005112,0.009527578,0.623364266,0.594392722,0.838166292,0.28505734,0.025969538,0.547551736,1,0.01956116
81,1,0.411300151,0.475468818,0.456073666,0.593688292,0.593688292,0.998871797,0.797057028,0.809027051,0.303146992,0.781236219,0.463382066,0.000781078,0.0,0.146559353,0.146559353,0.146559353,0.180107781,0.323760345,0.023488664,0.085497924,0.142577389,0.022112345,0.848035393,0.689373923,0.689367748,0.217594164,0.000344321,0.263863829,0.394769196,0.004453028,0.002820383,0.62893796,0.032388586,0.231701787,0.768298213,0.005720059,0.404609435,0.006264015,0.085462569,0.141603197,0.417331727,0.094452774,0.000586367,0.010794263,0.045967742,0.07289338,0.370378327,0.016901922,0.708528845,0.311743329,0.483895163,0.050565428,0.002797189,0.001359857,0.197270393,0.345557493,0.276368585,0.004631489,0.81574516,0.724078211,0.349740781,0.007281266,0.910702375,0.002015879,0.037013863,0.593871024,0.671574927,0.094380442,0.81574516,0.349740781,0.125987774,0.646103302,0.459627222,0.601032025,0.31590524,0.06357356,0,0.749554827,0.017571493,0.622807705,0.593689579,0.830318008,0.298267792,0.026436658,0.5626148,1,0.014335832
82,1,0.491493199,0.514827737,0.531987794,0.593767567,0.593767567,0.998887742,0.797254025,0.809188235,0.303457817,0.781421623,0.46468886,0.000567057,0.0,0.176941553,0.176941553,0.176941553,0.205634868,0.322133409,0.013808854,0.090546372,0.163666491,0.022799051,0.848028888,0.688850919,0.688850919,0.217560085,0.000431312,0.263910452,0.382055438,0.003101394,0.002113571,0.628258859,0.006237518,0.119932279,0.880067721,0.005070867,0.376330569,0.005365848,0.090494569,0.162672498,0.396421332,0.068965517,0.001016506,0.006217311,0.020483871,0.007611298,0.390086158,0.015835116,0.710751219,0.131333435,0.167064103,0.007735755,0.002433631,0.000419906,0.097494431,0.348285697,0.276832317,0.002081399,0.766393256,0.729151767,0.330507612,0.017079297,0.927387952,0.002038343,0.011396874,0.593851241,0.671558461,0.550910588,0.766393256,0.330507612,0.115592068,0.632062435,0.456981114,0.594415515,0.312861016,0.088933237,0,0.783153183,0.003998768,0.62420657,0.593764535,0.839042788,0.279302527,0.026364844,0.561751084,1,0.031179164
83,1,0.479744552,0.545028347,0.530060496,0.619020165,0.618234624,0.999087639,0.797429856,0.809334186,0.303346877,0.781578817,0.459837447,0.000684068,0.422411175,0.193712865,0.193712865,0.193712865,0.215656613,0.314069463,0.019843611,0.106913118,0.173382541,0.022152026,0.848064227,0.689205157,0.689205157,0.217566293,0.000437351,0.263891026,0.371958943,0.008924777,0.00583478,0.633790291,0.008763531,0.144904314,0.855095686,0.005288942,0.379239425,0.005365848,0.106396665,0.172355026,0.401417159,0.067466267,0.000454486,0.01391957,0.021774194,0.015410602,0.398453224,0.020430013,0.795214058,0.438244435,0.497627817,0.107198361,0.007640633,0.005440586,0.104306088,0.337460774,0.277213317,0.003670025,0.680898239,0.735529426,0.331567719,0.009392084,0.932292692,0.002245622,0.030020187,0.593990953,0.671555787,0.32741769,0.680898239,0.331567719,0.119570287,0.630836609,0.457148895,0.549605511,0.312359225,0.032622873,0,0.798701143,0.003045254,0.623881518,0.61902087,0.840290081,0.28113461,0.028226374,0.568060446,1,0.025232218
170,1,0.416516355,0.47797645,0.474168853,0.616980643,0.616980643,0.998902995,0.796658192,0.808718353,0.302384916,0.780927166,0.462692601,0.000658066,0.0,0.15528212,0.15528212,0.15528212,0.199205824,0.319056377,0.005384394,0.09372201,0.155908714,0.030853558,0.848138175,0.689400901,0.689400901,0.217591433,0.000870858,0.264157556,0.379605827,0.002374408,0.001894603,0.629525965,0.011729999,0.166520543,0.833479457,0.00517768,0.379579407,0.005365848,0.093735242,0.154950607,0.396358365,0.03898051,0.000797379,0.007938792,0.020645161,0.003152035,0.391329911,0.00942121,0.697667398,0.112146603,0.137863132,0.048216428,0.001951064,0.002473304,0.10319613,0.342972191,0.276895773,0.001450938,0.586198995,0.726941503,0.332391134,0.043429012,0.910578421,0.002083496,0.036684198,0.59374469,0.671559088,0.391752058,0.586198995,0.332391134,0.124288815,0.63779082,0.458485546,0.577061171,0.313474037,0.113155622,0,0.764491064,0.00089142,0.623175015,0.616975368,0.836718306,0.283286111,0.026556649,0.563721308,1,0.021481561
171,1,0.471310876,0.535870039,0.52443921,0.615308667,0.615308667,0.999023857,0.797357088,0.809285232,0.303353162,0.781539097,0.459424775,0.000636064,0.0,0.169061565,0.169061565,0.169061565,0.212347547,0.312619368,0.018497512,0.10064327,0.168411539,0.022074876,0.847993572,0.689014607,0.689014607,0.217549423,0.000438948,0.263774468,0.366184196,0.006172212,0.003137917,0.640100136,0.011574973,0.165553103,0.834446897,0.00521981,0.381105969,0.005365848,0.100615565,0.167423271,0.406346,0.077961019,0.000458543,0.013819663,0.027580645,0.009664674,0.393964406,0.008520125,0.755729691,0.323247159,0.521668425,0.023760676,0.003714429,0.000807772,0.155952972,0.335353676,0.282490126,0.006700344,0.898094526,0.732404191,0.335491656,0.002656625,0.930467637,0.002216079,0.033596171,0.59392164,0.67154582,0.274365703,0.898094526,0.335491656,0.11389208,0.61848769,0.455500372,0.536284025,0.309409309,0.046616948,0,0.793218334,0.001286746,0.623500388,0.615306609,0.839754353,0.283173732,0.023831762,0.572995905,1,0.021630429
274,1,0.480427046,0.512211077,0.528561486,0.599504173,0.599504173,0.998993006,0.797314895,0.809230159,0.303343735,0.781479448,0.46248291,0.000662066,0.0,0.163667776,0.163667776,0.163667776,0.195802212,0.322593195,0.049291408,0.102678935,0.158394216,0.022248789,0.848742841,0.689449548,0.689449548,0.217598814,0.000401491,0.264100831,0.381943668,0.004526663,0.003015021,0.627734209,0.024262486,0.215648336,0.784351664,0.004925095,0.388529647,0.005365848,0.102643021,0.157386321,0.412625281,0.139430285,0.000691873,0.009140242,0.061129032,0.008333945,0.392833722,0.00644326,0.709933128,0.412584867,0.500073285,0.029306544,0.003667402,0.000774846,0.200663651,0.343593536,0.276619945,0.002576268,0.891765461,0.725817914,0.345465255,0.003774163,0.925291388,0.002114377,0.027137701,0.593885434,0.671563509,0.454902536,0.891765461,0.345465255,0.117420816,0.627595451,0.457445756,0.584963407,0.309360434,0.062596874,0,0.777581356,0.002532515,0.624927681,0.599502576,0.836942736,0.292374608,0.026118371,0.556329485,1,0.015702833
